Fecha,Hora,dato
2025-06-11,22:05:56,17
2025-06-11,22:10:24,17
2025-06-11,22:14:31,17
2025-06-11,22:15:31,23
2025-06-11,22:16:55,17
2025-06-11,22:17:55,20
2025-06-11,22:20:15,21
2025-06-11,22:21:15,23
2025-06-11,22:22:15,16
2025-06-11,22:23:15,16
2025-06-11,22:24:15,16
2025-06-11,22:25:15,17
2025-06-11,22:26:15,16
2025-06-11,22:27:15,16
2025-06-11,22:28:15,16
2025-06-11,22:29:15,17
2025-06-11,22:30:15,16
2025-06-11,22:31:15,16
2025-06-11,22:32:15,18
2025-06-11,22:36:54,17
2025-06-11,22:54:38,20
2025-06-11,23:03:33,20
2025-06-11,23:04:33,20
2025-06-11,23:15:18,20
2025-06-11,23:16:26,20
2025-06-11,23:20:02,20
2025-06-11,23:25:10,19
2025-06-11,23:26:43,19
2025-06-11,23:28:03,19
2025-06-11,23:30:07,19
2025-06-11,23:35:46,19
2025-06-11,23:36:46,22
2025-06-11,23:37:53,18
2025-06-11,23:46:30,19
2025-06-11,23:49:24,19
2025-06-11,23:54:19,19
2025-06-12,00:05:08,19
2025-06-12,00:07:15,19
2025-06-12,00:10:03,19
2025-06-12,00:11:24,19
2025-06-12,00:13:49,19
2025-06-12,00:16:51,18
2025-06-12,00:19:57,18
2025-06-12,00:21:56,18
2025-06-12,00:23:41,18
2025-06-12,00:25:25,18
2025-06-12,00:26:50,18
2025-06-12,00:29:22,18
2025-06-12,00:32:06,17
2025-06-12,00:35:16,18
2025-06-12,00:40:33,18
2025-06-12,00:41:44,18
2025-06-12,00:44:30,18
2025-06-12,00:45:34,17
2025-06-12,00:56:31,17
2025-06-12,00:57:31,20
2025-06-12,00:58:31,20
2025-06-12,00:59:31,20
2025-06-12,01:01:53,18
2025-06-12,01:02:00,17
2025-06-12,01:02:02,17
2025-06-12,01:02:04,17
2025-06-12,01:02:06,20
2025-06-12,01:02:08,20
2025-06-12,01:02:10,20
2025-06-12,01:02:12,20
2025-06-12,01:02:14,20
2025-06-12,01:02:16,20
2025-06-12,01:02:18,20
2025-06-12,01:02:20,21
2025-06-12,01:02:22,20
2025-06-12,01:02:24,20
2025-06-12,01:02:26,20
2025-06-12,01:02:28,20
2025-06-12,01:02:30,20
2025-06-12,01:02:32,20
2025-06-12,01:02:34,20
2025-06-12,01:02:36,20
2025-06-12,01:02:38,20
2025-06-12,01:02:40,20
2025-06-12,01:02:42,20
2025-06-12,01:02:44,20
2025-06-12,01:02:46,20
2025-06-12,01:02:48,20
2025-06-12,01:02:50,20
2025-06-12,01:02:52,20
2025-06-12,01:02:54,20
2025-06-12,01:02:56,20
2025-06-12,01:02:58,23
2025-06-12,01:03:00,20
2025-06-12,01:03:02,20
2025-06-12,01:03:04,20
2025-06-12,01:03:06,20
2025-06-12,01:03:08,20
2025-06-12,01:03:10,20
2025-06-12,01:04:10,20
2025-06-12,01:27:09,17
2025-06-12,01:28:09,20
2025-06-12,01:29:09,17
2025-06-12,01:32:08,17
2025-06-12,01:33:08,17
2025-06-12,01:35:39,17
2025-06-12,01:36:39,17
2025-06-12,01:41:06,17
2025-06-12,01:42:23,17
2025-06-12,01:43:23,17
2025-06-12,01:44:23,17
2025-06-12,01:45:23,17
2025-06-12,01:46:23,17
2025-06-12,01:47:23,17
2025-06-12,01:48:23,17
2025-06-12,01:49:23,17
2025-06-12,01:51:24,17
2025-06-12,01:52:24,17
