Fecha,Hora,dato,Compuerta
2025-06-11,22:05:56,27.4,False
2025-06-11,22:10:24,27.4,False
2025-06-11,22:14:31,27.4,False
2025-06-11,22:15:31,27.3,False
2025-06-11,22:16:55,27.4,False
2025-06-11,22:17:55,27.4,False
2025-06-11,22:20:15,27.2,False
2025-06-11,22:21:15,27,False
2025-06-11,22:22:15,27,False
2025-06-11,22:23:15,27.2,False
2025-06-11,22:24:15,27.3,False
2025-06-11,22:25:15,27.2,False
2025-06-11,22:26:15,27.2,False
2025-06-11,22:27:15,27.2,False
2025-06-11,22:28:15,27.4,False
2025-06-11,22:29:15,27.4,False
2025-06-11,22:30:15,27.4,False
2025-06-11,22:31:15,27.4,False
2025-06-11,22:32:15,27.4,False
2025-06-11,22:36:54,27.4,False
2025-06-11,22:54:38,27.2,False
2025-06-11,23:03:33,27.2,False
2025-06-11,23:04:33,27.1,False
2025-06-11,23:15:18,27.4,False
2025-06-11,23:16:26,27.2,False
2025-06-11,23:20:02,27.3,False
2025-06-11,23:25:10,27.3,False
2025-06-11,23:26:43,27.4,False
2025-06-11,23:28:03,27.3,False
2025-06-11,23:30:07,27.4,False
2025-06-11,23:35:46,27.4,False
2025-06-11,23:36:46,27.1,False
2025-06-11,23:37:53,26.7,False
2025-06-11,23:46:30,27,False
2025-06-11,23:49:24,27.1,False
2025-06-11,23:54:19,27.1,False
2025-06-12,00:05:08,27.2,False
2025-06-12,00:07:15,27.2,False
2025-06-12,00:10:03,27.4,False
2025-06-12,00:11:24,27.3,False
2025-06-12,00:13:49,27.3,False
2025-06-12,00:16:51,27.3,False
2025-06-12,00:19:57,27.4,False
2025-06-12,00:21:56,27.4,False
2025-06-12,00:23:41,27.3,False
2025-06-12,00:25:25,27.4,False
2025-06-12,00:26:50,27,False
2025-06-12,00:29:22,26.9,False
2025-06-12,00:32:06,26.5,False
2025-06-12,00:35:16,27,False
2025-06-12,00:40:33,27.2,False
2025-06-12,00:41:44,27.1,False
2025-06-12,00:44:30,27.2,False
2025-06-12,00:45:34,27.2,False
2025-06-12,00:56:31,27.3,False
2025-06-12,00:57:31,27,False
2025-06-12,00:58:31,26.6,False
2025-06-12,00:59:31,26.4,False
2025-06-12,01:01:53,26.2,False
2025-06-12,01:02:00,26.3,False
2025-06-12,01:02:02,26.3,False
2025-06-12,01:02:04,26.3,False
2025-06-12,01:02:06,26.4,False
2025-06-12,01:02:08,26.4,False
2025-06-12,01:02:10,26.3,False
2025-06-12,01:02:12,26.4,False
2025-06-12,01:02:14,26.4,False
2025-06-12,01:02:16,26.3,False
2025-06-12,01:02:18,26.3,False
2025-06-12,01:02:20,26.4,False
2025-06-12,01:02:22,26.4,False
2025-06-12,01:02:24,26.4,False
2025-06-12,01:02:26,26.3,False
2025-06-12,01:02:28,26.4,False
2025-06-12,01:02:30,26.4,False
2025-06-12,01:02:32,26.4,False
2025-06-12,01:02:34,26.4,False
2025-06-12,01:02:36,26.4,False
2025-06-12,01:02:38,26.3,False
2025-06-12,01:02:40,26.3,False
2025-06-12,01:02:42,26.4,False
2025-06-12,01:02:44,26.4,False
2025-06-12,01:02:46,26.4,False
2025-06-12,01:02:48,26.3,False
2025-06-12,01:02:50,26.3,False
2025-06-12,01:02:52,26.3,False
2025-06-12,01:02:54,26.3,False
2025-06-12,01:02:56,26.3,False
2025-06-12,01:02:58,26.3,False
2025-06-12,01:03:00,26.3,False
2025-06-12,01:03:02,26.3,False
2025-06-12,01:03:04,26.3,False
2025-06-12,01:03:06,26.3,False
2025-06-12,01:03:08,26.3,False
2025-06-12,01:03:10,26.3,False
2025-06-12,01:04:10,26.1,False
2025-06-12,01:27:09,27.1,False
2025-06-12,01:28:09,27.1,False
2025-06-12,01:29:09,26.8,False
2025-06-12,01:32:08,26.9,False
2025-06-12,01:33:08,27,False
2025-06-12,01:35:39,27.1,False
2025-06-12,01:36:39,27,False
2025-06-12,01:41:06,27.1,False
2025-06-12,01:42:23,27.1,False
2025-06-12,01:43:23,27.2,False
2025-06-12,01:44:23,27.2,False
2025-06-12,01:45:23,27.3,False
2025-06-12,01:46:23,27.3,False
2025-06-12,01:47:23,27.3,False
2025-06-12,01:48:23,27.2,False
2025-06-12,01:49:23,27.2,False
2025-06-12,01:51:24,27.2,False
2025-06-12,01:52:24,27.3,False
