Fecha,Hora,dato
2025-06-11,22:05:56,42
2025-06-11,22:10:24,41
2025-06-11,22:14:31,42
2025-06-11,22:16:01,53
2025-06-11,22:17:31,42
2025-06-11,22:20:15,52
2025-06-11,22:21:45,55
2025-06-11,22:23:15,56
2025-06-11,22:24:45,56
2025-06-11,22:26:15,52
2025-06-11,22:27:45,52
2025-06-11,22:29:15,52
2025-06-11,22:30:45,52
2025-06-11,22:32:15,52
2025-06-24,16:08:53,33
2025-06-24,16:11:41,33
2025-06-24,16:16:11,34
2025-06-24,16:32:45,36
2025-06-24,16:34:15,34
2025-06-24,16:38:26,36
2025-06-24,16:40:25,37
2025-06-24,16:42:06,37
2025-06-24,16:43:36,35
2025-06-24,16:45:24,36
2025-06-24,16:46:57,36
2025-06-24,16:49:07,36
2025-06-24,16:50:37,36
2025-06-24,16:52:07,26
2025-06-24,16:55:13,36
2025-06-24,16:59:47,37
2025-06-24,17:31:09,37
2025-06-24,17:36:55,38
2025-06-24,17:41:57,37
2025-06-24,18:29:02,10
2025-06-24,18:29:03,10
2025-06-24,18:29:04,10
2025-06-24,18:29:05,-21
2025-06-24,19:23:34,34
2025-06-24,19:23:35,34
2025-06-24,19:23:35,34
2025-06-24,19:23:36,34
2025-06-24,19:23:36,34
2025-06-24,19:23:37,34
2025-06-24,19:23:37,33
2025-06-24,19:23:38,33
2025-06-24,19:23:38,33
2025-06-24,19:23:39,33
2025-06-24,19:23:39,33
2025-06-24,19:23:40,33
2025-06-24,19:23:40,33
2025-06-24,19:23:41,33
2025-06-24,19:23:41,33
2025-06-24,19:33:20,34
2025-06-24,19:33:21,34
2025-06-24,19:33:22,34
2025-06-24,19:33:23,34
2025-06-24,19:34:59,33
2025-06-24,19:34:59,33
2025-06-24,19:35:00,33
2025-06-24,19:35:00,33
2025-06-24,19:35:01,33
2025-06-24,19:35:01,33
2025-06-24,19:35:02,21
2025-06-24,19:35:02,21
2025-06-24,19:35:03,21
2025-06-24,19:35:03,21
2025-06-24,19:35:04,21
2025-06-24,19:35:04,21
2025-06-24,19:35:05,33
2025-06-24,19:35:05,33
2025-06-24,19:35:06,33
2025-06-24,19:35:06,33
2025-06-24,19:35:07,33
2025-06-24,19:35:07,33
2025-06-24,19:35:08,32
2025-06-24,19:35:08,32
2025-06-24,19:35:09,32
2025-06-24,19:35:09,32
2025-06-24,19:35:10,32
2025-06-24,19:35:10,32
2025-06-24,19:35:11,32
2025-06-24,19:35:11,33
2025-06-24,19:35:12,33
2025-06-24,19:35:12,33
2025-06-24,19:35:13,33
2025-06-24,19:35:13,33
2025-06-24,19:35:14,33
2025-06-24,19:35:14,33
2025-06-24,19:35:15,33
2025-06-24,19:35:15,33
2025-06-24,19:35:16,33
2025-06-24,19:35:16,33
2025-06-24,19:35:17,33
2025-06-24,19:35:17,21
2025-06-24,19:35:18,21
2025-06-24,19:35:18,21
2025-06-24,19:35:19,21
2025-06-24,19:35:19,21
2025-06-24,19:35:20,21
2025-06-24,19:35:20,31
2025-06-24,19:35:21,31
2025-06-24,19:35:21,31
2025-06-24,19:35:22,31
2025-06-24,19:35:22,31
2025-06-24,19:35:23,31
2025-06-24,19:35:23,31
2025-06-24,19:35:24,33
2025-06-24,19:35:24,33
2025-06-24,19:35:25,33
2025-06-24,19:35:25,33
2025-06-24,19:35:26,33
2025-06-24,19:35:26,33
2025-06-24,19:35:27,22
2025-06-24,19:35:27,22
2025-06-24,19:35:28,22
2025-06-24,19:35:28,22
2025-06-24,19:35:29,22
2025-06-24,19:35:29,22
2025-06-24,19:35:30,33
2025-06-24,19:35:30,33
2025-06-24,19:35:31,33
2025-06-24,19:35:31,33
2025-06-24,19:35:32,33
2025-06-24,19:35:32,33
2025-06-24,19:35:33,33
2025-06-24,19:35:33,33
2025-06-24,19:35:34,33
2025-06-24,19:35:34,33
2025-06-24,19:35:35,33
2025-06-24,19:35:36,33
2025-06-24,19:35:36,33
2025-06-24,19:35:37,33
2025-06-24,19:35:37,33
2025-06-24,19:35:38,33
2025-06-24,19:35:38,33
2025-06-24,19:35:39,33
2025-06-24,19:35:39,33
2025-06-24,19:35:40,33
2025-06-24,19:35:40,33
2025-06-24,19:35:41,33
